22/02/2022 15:36:48.43 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 0 passed, 1 advisory, 7 failed (of 16 total). 
22/02/2022 15:44:49.82 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 0 passed, 1 advisory, 7 failed (of 16 total). 
22/02/2022 16:05:12.23 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 0 passed, 1 advisory, 7 failed (of 16 total). 
22/02/2022 16:09:26.36 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 2 passed, 1 advisory, 5 failed (of 16 total). 
22/02/2022 16:13:27.37 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 4 passed, 0 advisory, 4 failed (of 16 total). 
22/02/2022 16:15:16.49 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 5 passed, 0 advisory, 3 failed (of 16 total). 
22/02/2022 16:17:39.29 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 5 passed, 0 advisory, 3 failed (of 16 total). 
22/02/2022 16:19:46.79 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 5 passed, 0 advisory, 3 failed (of 16 total). 
22/02/2022 16:23:14.16 All tests of G:\VisualStudio\Networking\loationserver\locationserver\locationserver\bin\Debug completed: 16 passed, 0 advisory, 0 failed (of 16 total). 
Lab2Test can be signed off for CEDRIC PEPIN (638372) at 22/02/2022 16:23:17.13 on FEN-052-C-02 
